nx,ny,variant,wall_time,mcups,bw_gbs,speedup
400,130,global,0.5191,162.43,5.85,
400,130,shared,0.5139,164.33,5.92,1.01
800,260,global,1.0507,662.23,23.84,
800,260,shared,1.072,648.7,23.35,0.98
1600,520,global,5.8979,969.05,34.89,
1600,520,shared,6.3865,894.1,32.19,0.923
3200,1040,global,45.0063,1042.99,37.55,
3200,1040,shared,48.7079,963.78,34.7,0.924
