nx,ny,total_cells,wall_time,steps,mcups,efficiency_pct
100,33,3300,0.1132,385,11.23,100.0
200,65,13000,0.2323,780,43.66,388.8
400,130,52000,0.4795,1616,175.23,1560.7
800,260,208000,0.9898,3335,700.84,6241.9
1600,520,832000,5.8974,6866,968.65,8627.2
3200,1040,3328000,44.7713,14101,1048.18,9335.4
