nx,ny,layout,wall_time,mcups,bw_gbs,speedup_soa_over_aos
400,130,SoA,0.12,720.61,25.94,0.889
400,130,AoS,0.1067,788.94,28.4,
800,260,SoA,0.2236,3105.64,111.8,0.996
800,260,AoS,0.2226,3119.96,112.32,
1600,520,SoA,1.0718,5332.48,191.97,1.212
1600,520,AoS,1.2985,4398.31,158.34,
3200,1040,SoA,7.4776,6277.17,225.98,1.245
3200,1040,AoS,9.309,5042.74,181.54,
