ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
0,0.00,update_state_kernel,update_state_kernel,122.82,0.00,40.28,41.55,27,"   50,   17,    1","   16,   16,    1"
1,0.00,update_state_kernel,update_state_kernel,121.28,0.00,40.20,41.53,27,"   50,   17,    1","   16,   16,    1"
