ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
0,0.00,compute_fluxes_global_kernel,compute_fluxes_global_kernel,78.78,0.00,38.18,53.33,30,"   50,   17,    1","   16,   16,    1"
1,0.00,compute_fluxes_global_kernel,compute_fluxes_global_kernel,78.75,0.00,37.92,50.57,30,"   50,   17,    1","   16,   16,    1"
