ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
0,0.00,compute_wave_speeds_kernel,compute_wave_speeds_kernel,17.82,0.00,22.80,49.34,18,"   50,   17,    1","   16,   16,    1"
1,0.00,compute_wave_speeds_kernel,compute_wave_speeds_kernel,17.54,0.00,22.44,50.71,18,"   50,   17,    1","   16,   16,    1"
