ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
0,0.00,compute_k_grid_kernel,compute_k_grid_kernel,19.33,0.00,22.39,60.71,25,"   50,   17,    1","   16,   16,    1"
1,0.00,compute_k_grid_kernel,compute_k_grid_kernel,18.21,0.00,22.34,47.06,25,"   50,   17,    1","   16,   16,    1"
